model,seed,concept,layer,train_context,train_lang,test_context,test_lang,control,acc
bigscience/bloom-1b7,0,side,2,informative,en,informative,en,none,1.0
bigscience/bloom-1b7,0,side,2,informative,en,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,2,informative,en,neutral,hi,none,0.5
bigscience/bloom-1b7,0,side,2,informative,en,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,2,informative,en,informative,en,shuffled,0.5
bigscience/bloom-1b7,0,side,3,informative,en,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,3,informative,en,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,3,informative,en,informative,en,none,1.0
bigscience/bloom-1b7,0,side,3,informative,en,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,3,informative,en,neutral,hi,none,0.5
bigscience/bloom-1b7,0,side,3,informative,en,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,3,informative,en,informative,en,shuffled,0.4166666666666667
