model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
bigscience/bloom-560m,0,side,20,1,hi,neutral,bn,0.45,-0.18052593072255452,120
bigscience/bloom-560m,0,side,20,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,20,1,hi,neutral,hi,0.475,-0.03873986303806305,120
bigscience/bloom-560m,0,side,22,1,hi,informative,bn,0.6583333333333333,0.30577059388160704,120
bigscience/bloom-560m,0,side,22,1,hi,informative,en,0.5083333333333333,0.08034642537434895,120
bigscience/bloom-560m,0,side,22,1,hi,informative,hi,0.6166666666666667,0.27543317079544066,120
bigscience/bloom-560m,0,side,22,1,hi,neutral,bn,0.44166666666666665,-0.18747790058453878,120
bigscience/bloom-560m,0,side,22,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,22,1,hi,neutral,hi,0.4666666666666667,-0.07434604068597157,120
bigscience/bloom-560m,0,side,0,1,en,informative,bn,0.6833333333333333,0.32009522914886473,120
bigscience/bloom-560m,0,side,0,1,en,informative,en,0.5083333333333333,0.06505584716796875,120
bigscience/bloom-560m,0,side,0,1,en,informative,hi,0.6333333333333333,0.3866166224082311,120
bigscience/bloom-560m,0,side,0,1,en,neutral,bn,0.45,-0.17157300114631652,120
bigscience/bloom-560m,0,side,0,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,0,1,en,neutral,hi,0.48333333333333334,-0.013524356484413146,120
bigscience/bloom-560m,0,side,2,1,en,informative,bn,0.65,0.32130585312843324,120
bigscience/bloom-560m,0,side,2,1,en,informative,en,0.5,0.05090535481770833,120
bigscience/bloom-560m,0,side,2,1,en,informative,hi,0.6416666666666667,0.3570004602273305,120
bigscience/bloom-560m,0,side,2,1,en,neutral,bn,0.4583333333333333,-0.17412604689598082,120
bigscience/bloom-560m,0,side,2,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,2,1,en,neutral,hi,0.4666666666666667,-0.03322855532169342,120
bigscience/bloom-560m,0,side,4,1,en,informative,bn,0.65,0.3063106834888458,120
bigscience/bloom-560m,0,side,4,1,en,informative,en,0.5083333333333333,0.06395212809244792,120
bigscience/bloom-560m,0,side,4,1,en,informative,hi,0.6333333333333333,0.33160839676856996,120
bigscience/bloom-560m,0,side,4,1,en,neutral,bn,0.45,-0.1900241275628408,120
bigscience/bloom-560m,0,side,4,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,4,1,en,neutral,hi,0.4666666666666667,-0.0393582155307134,120
bigscience/bloom-560m,0,side,6,1,en,informative,bn,0.675,0.3117411136627197,120
bigscience/bloom-560m,0,side,6,1,en,informative,en,0.5083333333333333,0.08427836100260416,120
bigscience/bloom-560m,0,side,6,1,en,informative,hi,0.6166666666666667,0.3502550462881724,120
bigscience/bloom-560m,0,side,6,1,en,neutral,bn,0.43333333333333335,-0.19316875735918682,120
bigscience/bloom-560m,0,side,6,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,6,1,en,neutral,hi,0.49166666666666664,-0.011924856901168823,120
bigscience/bloom-560m,0,side,8,1,en,informative,bn,0.6833333333333333,0.338900633653005,120
bigscience/bloom-560m,0,side,8,1,en,informative,en,0.5083333333333333,0.10114695231119791,120
bigscience/bloom-560m,0,side,8,1,en,informative,hi,0.6083333333333333,0.40402603248755137,120
bigscience/bloom-560m,0,side,8,1,en,neutral,bn,0.4,-0.20042439500490825,120
bigscience/bloom-560m,0,side,8,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,8,1,en,neutral,hi,0.48333333333333334,0.0030463407437006634,120
bigscience/bloom-560m,0,side,10,1,en,informative,bn,0.6583333333333333,0.3418226579825083,120
bigscience/bloom-560m,0,side,10,1,en,informative,en,0.5083333333333333,0.10916493733723959,120
bigscience/bloom-560m,0,side,10,1,en,informative,hi,0.6166666666666667,0.4056201885143916,120
bigscience/bloom-560m,0,side,10,1,en,neutral,bn,0.425,-0.18031615416208904,120
bigscience/bloom-560m,0,side,10,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,10,1,en,neutral,hi,0.5083333333333333,0.0026149570941925047,120
bigscience/bloom-560m,0,side,12,1,en,informative,bn,0.6666666666666666,0.3387364427248637,120
bigscience/bloom-560m,0,side,12,1,en,informative,en,0.5083333333333333,0.0971997578938802,120
bigscience/bloom-560m,0,side,12,1,en,informative,hi,0.6333333333333333,0.40616921385129295,120
bigscience/bloom-560m,0,side,12,1,en,neutral,bn,0.425,-0.17486290136973062,120
bigscience/bloom-560m,0,side,12,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,12,1,en,neutral,hi,0.49166666666666664,-0.010016879439353943,120
bigscience/bloom-560m,0,side,12,4,en,informative,bn,0.7,0.36180222829182945,120
bigscience/bloom-560m,0,side,12,4,en,informative,en,0.5083333333333333,0.05386962890625,120
bigscience/bloom-560m,0,side,12,4,en,informative,hi,0.6166666666666667,0.3398866355419159,120
bigscience/bloom-560m,0,side,12,4,en,neutral,bn,0.4583333333333333,-0.1720887323220571,120
bigscience/bloom-560m,0,side,12,4,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,12,4,en,neutral,hi,0.5,0.023075918356577556,120
bigscience/bloom-560m,0,side,14,1,en,informative,bn,0.6583333333333333,0.3383075932661692,120
bigscience/bloom-560m,0,side,14,1,en,informative,en,0.5083333333333333,0.1087371826171875,120
